A ,B,C
2,4,18
3,7,24
5,8,26
6,10,31
8,12,35
9,14,39
11,16,43
12,18,47
14,20,51
15,22,55
17,24,59
18,26,63
20,28,67
21,30,71
23,32,75
24,34,79
26,36,83
27,38,87
29,40,91
30,42,95
32,44,99
33,46,103
35,48,107
36,50,111
38,52,115
39,54,119
41,56,123
42,58,127
44,60,131
45,62,135
47,64,139
48,66,143
50,68,147
51,70,151
53,72,155
54,74,159
56,76,163
57,78,167
59,80,171
60,82,175
62,84,179
63,86,183
65,88,187
66,90,191
68,92,195
69,94,199
71,96,203
72,98,207
74,100,211
75,102,215
77,104,219
78,106,223
80,108,227
81,110,231
83,112,235
84,114,239
86,116,243
87,118,247
89,120,251
90,122,255
92,124,259
93,126,263
95,128,267
96,130,271
98,132,275
99,134,279
101,136,283
102,138,287
104,140,291
105,142,295
107,144,299
108,146,303
110,148,307
111,150,311
113,152,315
114,154,319
116,156,323
117,158,327
119,160,331
120,162,335
122,164,339
123,166,343
125,168,347
126,170,351
128,172,355
129,174,359
131,176,363
132,178,367
134,180,371
135,182,375
137,184,379
138,186,383
140,188,387
141,190,391
143,192,395
144,194,399
146,196,403
147,198,407
149,200,411
150,202,415
152,204,419
153,206,423
155,208,427
156,210,431
158,212,435
159,214,439
161,216,443
162,218,447
164,220,451
165,222,455
167,224,459
168,226,463
170,228,467
171,230,471
173,232,475
174,234,479
176,236,483
177,238,487
179,240,491
180,242,495
182,244,499
183,246,503
185,248,507
186,250,511
188,252,515
189,254,519
191,256,523
192,258,527
194,260,531
195,262,535
197,264,539
198,266,543
200,268,547
201,270,551
203,272,555
204,274,559
206,276,563
207,278,567
209,280,571
210,282,575
212,284,579
213,286,583
215,288,587
216,290,591
218,292,595
219,294,599
221,296,603
222,298,607
224,300,611
225,302,615
227,304,619
228,306,623
230,308,627
231,310,631
233,312,635
234,314,639
236,316,643
237,318,647
239,320,651
240,322,655
242,324,659
243,326,663
245,328,667
246,330,671
248,332,675
249,334,679
251,336,683
252,338,687
254,340,691
255,342,695
257,344,699
258,346,703
260,348,707
261,350,711
263,352,715
264,354,719
266,356,723
267,358,727
269,360,731
270,362,735
272,364,739
273,366,743
275,368,747
276,370,751
278,372,755
279,374,759
281,376,763
282,378,767
284,380,771
285,382,775
287,384,779
288,386,783
290,388,787
291,390,791
293,392,795
294,394,799
296,396,803
297,398,807
299,400,811
300,402,815
302,404,819
303,406,823
305,408,827
306,410,831
308,412,835
309,414,839
311,416,843
312,418,847
314,420,851
315,422,855
317,424,859
318,426,863
320,428,867
321,430,871
323,432,875
324,434,879
326,436,883
327,438,887
329,440,891
330,442,895
332,444,899
333,446,903
335,448,907
336,450,911
338,452,915
339,454,919
341,456,923
342,458,927
344,460,931
345,462,935
347,464,939
348,466,943
350,468,947
351,470,951
353,472,955
354,474,959
356,476,963
357,478,967
359,480,971
360,482,975
362,484,979
363,486,983
365,488,987
366,490,991
368,492,995
